defect_id,defect_type,severity,location_on_part,disposition,cost_impact,inspection_id,inspection_type,inspection_date,inspection_result,dimension_error,visual_score,run_id,part_number,production_line,run_date,shift,operator_id,year_month,year,supplier_name,supplier_tier,supplier_country
DEF-000111,Contamination,Minor,Edge Break,Rework,77.54,INS-000322,Final,2024-06-25,Fail,0.0145,6,RUN-00208,AV-3301-PCB,Line-Delta,2024-06-23,Night,OP-009,2024-06,2024,Internal,N/A,N/A
DEF-000184,Marking / Labeling Error,Minor,Flange,Return to Supplier,102.4,INS-000526,Receiving,2024-06-17,Fail,0.0662,1,RUN-00335,ST-8801-FASTENER,Line-Charlie,2024-06-16,Night,OP-014,2024-06,2024,Helios Fastener Systems,Tier-2,Germany
DEF-000199,Porosity / Void,Minor,Seal Face,Scrap,253.63,INS-000572,IQC,2024-06-17,Fail,0.0426,1,RUN-00371,PR-5502-NOZZLE,Line-Alpha,2024-06-16,Night,OP-005,2024-06,2024,Quantum Seal Technologies,Tier-2,USA
DEF-000038,Porosity / Void,Minor,Thread,Use-As-Is,112.9,INS-000107,FAI,2024-06-15,Fail,0.0304,4,RUN-00069,GD-2201-SERVO,Line-Delta,2024-06-15,Day,OP-012,2024-06,2024,Internal,N/A,N/A
DEF-000156,Contamination,Minor,Seal Face,MRB Hold,332.62,INS-000442,FAI,2024-06-10,Fail,0.0224,2,RUN-00285,GD-2201-SERVO,Line-Alpha,2024-06-10,Night,OP-012,2024-06,2024,Internal,N/A,N/A
DEF-000106,Contamination,Critical,Edge Break,Rework,7326.74,INS-000297,IQC,2024-06-07,Fail,0.0014,6,RUN-00189,ST-8802-FASTENER,Line-Alpha,2024-06-05,Night,OP-007,2024-06,2024,Delta Forge Industries,Tier-2,USA
DEF-000054,Contamination,Minor,Edge Break,MRB Hold,228.68,INS-000155,IQC,2024-05-24,Fail,0.0653,6,RUN-00098,AV-3301-PCB,Line-Bravo,2024-05-23,Night,OP-019,2024-05,2024,Orbital Composites Ltd,Tier-1,USA
DEF-000036,Wrong Material Cert,Minor,Weld Zone,Return to Supplier,354.67,INS-000097,IQC,2024-05-20,Fail,0.0227,3,RUN-00064,GD-2201-SERVO,Line-Charlie,2024-05-19,Day,OP-011,2024-05,2024,StratoMet Components,Tier-2,UK
DEF-000105,Marking / Labeling Error,Major,Datum,Return to Supplier,1449.4,INS-000296,Final,2024-05-17,Fail,0.2445,2,RUN-00188,ST-8802-FASTENER,Line-Charlie,2024-05-15,Night,OP-009,2024-05,2024,Internal,N/A,N/A
DEF-000072,Surface Finish Non-Conformance,Minor,Thread,MRB Hold,257.29,INS-000210,IQC,2024-05-16,Fail,0.0792,4,RUN-00132,AV-3301-PCB,Line-Bravo,2024-05-14,Night,OP-010,2024-05,2024,Atlas Substrate Corp,Tier-3,India
